datasetid;last-checked-date;contact;predecessor;country;iso-region;source-copyrights;data-classification;restricted-comment;related-datasets;discontinued-data;unit-of-measure;publisher-periodicity;title;description;theme;keyword;license;language;timezone;modified;modified_updates_on_metadata_change;modified_updates_on_data_change;data_processed;metadata_processed;publisher;references;records_count;attributions;source_domain;source_domain_title;source_domain_address;source_dataset;oauth_scope;parent_domain;dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat_ap_ch.domain;dcat_ap_ch.rights;inspire.theme;inspire.type;inspire.file_identifier;inspire.hierarchy_level;inspire.hierarchy_level_name;inspire.spatial_resolution;inspire.topologic_consistency;inspire.contact_individual_name;inspire.contact_position;inspire.contact_address;inspire.contact_email;inspire.identification_purpose;inspire.extend_description;inspire.extend_bounding_box_westbound_longitude;inspire.extend_bounding_box_eastbound_longitude;inspire.extend_bounding_box_southbound_latitude;inspire.extend_bounding_box_northbound_latitude;semantic.rml_mapping;semantic.classes;semantic.properties;explore.download_count
manpower-in-electricity-companies-by-region-2000-2013;2017-07-25;;;Saudi Arabia;EMEA;http://www.data.gov.sa/data-policy;Public;;;Yes;;;Manpower in Electricity Companies by Region;<table><tbody><tr><td><ul><li>Source : Ministry of Water and Electricity.</li></ul></td><td> </td><td> </td></tr><tr><td><ul><li>Table 8 - 2</li></ul></td><td></td><td></td></tr><tr><td><ul><li>Note: As of 2000, the Northern included into SEC branches</li></ul></td></tr><tr><td></td></tr></tbody></table>;Electricity;;Public Domain;en;;2016-04-05T06:33:57+00:00;;;2017-07-25T14:48:54+00:00;2017-08-20T18:06:34+00:00;Saudi Open Data;http://www.data.gov.sa/dataset/manpower-electricity-companies-region;252;Title: Manpower in Electricity Companies by Region;;;;;;;;;;;;;Annually;;2000-2013;Country;;;;;;;;;;;;;;;;;;;;;;;;8
policy-options-for-reducing-water-for-agriculture-in-saudi-arabia;;;;;EMEA;https://www.kapsarc.org/terms-conditions/;Public;;;;;;Policy Options for Reducing Water for Agriculture in Saudi Arabia;<p><strong>Key Points:<br/></strong></p><div>Saudi Arabia relies almost exclusively on aquifers and desalination to provide its water.  Roughly 87 percent of these water extractions are used for agriculture, and so any policy to improve the sustainability of water resources cannot ignore this agriculture dimension.  </div> <ul><li>Our study identified a range of scenarios in which water intensive, low-value-added crops were substituted with water productive, high-value-added crops. </li><li>A 47 percent reduction in agricultural water consumption could be achieved without compromising food security or aggregate farmer revenues. Notably, this scenario minimizes social and political disruption. </li><li>In the most extreme case, water for agriculture could be reduced by 70 percent – the highest water savings identified among the 28 scenarios – but at the expense of losing sectors including dairy, fodder and grains. </li></ul> <div>Reductions in water use for agriculture are more likely to be acceptable when harmonized with broader social objectives and this study shows that this can be done. It lays out the different options available and offers suggestions for how to maximize water reductions at the lowest social cost.<br/><br/><strong><br/></strong><div><strong>About the Project</strong></div> <div>This project explores how crop substitution can reduce aggregate water use without compromising food security or farmer revenues in Saudi Arabia. The potential effects of crop substitution on total water use, total energy used to meet water demand, and the diversity of crops produced are examined.  Additionally, a political bargaining model that estimates the balance of influence of actors affected by crop substitution is developed. The project is part of a larger body of KAPSARC research on the water-energy-food nexus</div></div><p><strong></strong></p>;KAPSARC Publications;Discussion paper;Open Database License (ODbL);en;;2016-04-05T12:51:00+00:00;;;;2018-11-21T07:02:26+00:00;King Abdullah Petroleum Studies And Research Center;https://www.kapsarc.org/wp-content/uploads/2016/04/KS-1630-DP024A-Policy-Options-for-Reducing-Water-for-Agriculture-in-SA.pdf;0;Lama Yaseen, David Wogan, Ben Wise, Christopher Napoli;;;;;;;2016-04-05;2016-04-05;King Abdullah Petroleum Studies And Research Center;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
group-choice-with-interdependent-sublinear-voting;;;;World;WORLD;https://www.kapsarc.org/terms-conditions/;Public;;;;;;Group Choice with Interdependent Sublinear Voting;"<p><strong>About the Project </strong></p><p>KAPSARC is developing the KAPSARC Toolkit for Behavioral Analysis (KTAB), an open source software platform, to support modeling and analysis of collective decision making processes (CDMPs). Within our research, KTAB is intended to be the standard platform for analyzing bargaining problems, generalized voting models and policy decision making. It is our intent to use KTAB to assemble the building blocks for a broad class of CDMPs. Typical models in KTAB will draw on the insights of subject matter experts regarding decision makers and influencers in a methodical, consistent manner and will then assist researchers to identify feasible outcomes that are the result of CDMPs.</p><p><strong>Summary</strong></p><p>Many important decisions of policy are made in a collective manner, so a great deal of formal and informal analysis has been devoted to collective decision-making processes (CDMPs). One common approach to analyzing CDMPs is first to model the participants as exercising their ‘votes’ independently, and secondly to solve the model and identify a range of feasible outcomes. A potential criticism of this approach is that the actors may strategically modify their behaviors based on the behaviors of others. If such interdependent voting behaviors led to different outcomes, it would undermine the validity of analysis based on independent voting.</p><p>In this paper, we compare and contrast two models of collective choice. The first assumes that each participant decides how much effort to exert as if they were acting alone; the second assumes that each participant strategically takes into account the effort exerted by other participants. While the first model is simpler, the second is more realistic.</p><p>This paper demonstrates that they produce the same collective outcome: the simple model can be used without sacrificing realism. </p><p>More formally, we demonstrate the mathematical equivalence of these two different CDMPs:</p><ul><li>The simple strategy of independent proportional voting, and some simple results of applying it.</li><li>The consequences when actors strategically modify their behavior to take into account each other’s actions.</li></ul><p>There are some subtle differences in how the ‘negotiations’ play out — the actors do tend to exert less effort because of free rider effects — but overall the modified CDMP gives the same result</p><p>Thus, we can analyze CDMPs as if the actors used independent proportional voting and remain confident that the final result is also correct should actors be using more strategically sophisticated behavior.</p>";KAPSARC Publications;KTAB, Toolkit for Behavioral Analysis, CDMP,  collective decision making processes, Methodology papers ;Open Database License (ODbL);en;;2016-04-05T13:22:15+00:00;;;;2018-11-21T07:02:26+00:00;King Abdullah Petroleum Studies And Research Center;https://www.kapsarc.org/wp-content/uploads/2016/04/KS-1629-MP023B-Group-Choice-with-Interdependent-Sublinear-Voting_Methodology-Paper.pdf;0;Ben Wise;;;;;;;2016-04-05;2016-04-05;King Abdullah Petroleum Studies And Research Center;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
world-power-plants-list;2018-10-08;;;World;WORLD;http://www.globalenergyobservatory.org/;Public;;;;Megawatt Electrical;;World Power Plants Database;<p>List of world power plants sourced from Global Energy Observatory </p>;Renewable & Alternative Fuels, Coal, Nuclear, Crude Oil & Refined Products, Natural Gas;Gas, Geothermal, Hydro-Electric, Oil, Solar PV Farm, Solar Thermal, Waste, Wind;CC BY 3.0 US;en;;2016-04-11T07:47:34+00:00;;;2018-10-08T10:30:51+00:00;2018-11-21T13:01:19+00:00;Global Energy Observatory;http://www.globalenergyobservatory.org/;10082;Title: Power Plants - Global Energy Observatory;;;;;;;;;;;;;Annually;;;World;;;;;;;;;;;;;;;;;;;;;;;;500
how-will-natural-gas-adapt-to-the-new-price-environment;;;;World;WORLD;https://www.kapsarc.org/terms-conditions/;Public;;;;;;How Will Natural Gas Adapt to the New Price Environment?;"<p><strong>About the Project</strong></p><p style=""text-align: justify;"">KAPSARC is analyzing the shifting dynamics of the global gas markets. Global gas markets have turned upside down during the past five years: North America has emerged as a large potential future LNG exporter while gas demand growth has been slowing down as natural gas gets squeezed between coal and renewables. While the coming years will witness the fastest LNG export capacity expansion ever seen, many questions are raised on the next generation of LNG supply, the impact of low oil and gas prices on supply and demand patterns and how pricing and contractual structure may be affected by both the arrival of US LNG on global gas markets and the desire of Asian buyers for cheaper gas.</p><p><strong>Key Points</strong></p><p style=""text-align: justify;"">During the period 2011-14, buyers – particularly in Europe and Asia – argued that high natural gas prices had been the main obstacle preventing the fuel from fulfilling its promise and increasing its share in the primary energy mix. Key gas price indices have dropped across the world in tandem with oil and the previous situation no longer prevails. Perhaps it is time for new perspectives for gas markets.</p><p style=""text-align: justify;"">Demand for gas has yet to be boosted by the fall in prices over the last two years, though some regions show promise.</p><p style=""text-align: justify;"">Gas faces competition not only from coal but, more recently, from cheap oil as well. Meanwhile, policies promote renewables and energy efficiency. Consequently, the prospects for natural gas would stand a greater chance once policymakers begin to account properly for coal’s externalities. </p><p style=""text-align: justify;"">The rapid change in gas prices will force investors to operate assets on the basis of variable costs. Some players, notably those holding U.S. liquefied natural gas (LNG) export capacity, may not be able to sustain financial difficulties for long, especially if a price war emerges in Europe. </p><p style=""text-align: justify;"">The current reduced upstream investment climate could lead to a slower gas production recovery. If demand picks up in a few years’ time, production rates could prove insufficient. </p><p style=""text-align: justify;"">The need for flexibility and divergences between term and spot prices could favor the earlier emergence of another trading hub in Asia, although its specificities and location remain unclear.</p>";KAPSARC Publications;Gas Prices, New Gas Price ;Open Database License (ODbL);en;;2016-04-11T13:22:14+00:00;;;;2018-11-21T07:02:26+00:00;King Abdullah Petroleum Studies And Research Center;https://www.kapsarc.org/wp-content/uploads/2016/04/KS-1626-WB025A-How-Will-Natural-Gas-Adapt-to-the-New-Price-Environment.pdf;0;King Abdullah Petroleum Studies And Research Center;;;;;;;2016-04-11;2016-04-11;King Abdullah Petroleum Studies And Research Center;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gcc-desalination-capacities-by-technology-2011-2020;2018-09-18;;;Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates;EMEA;http://www.irena.org/DocumentDownloads/Publications/IRENA_Market_GCC_2016.pdf;Public;;;No;Multiple Units;Annualy;Desalination Capacities by Technology;"<p>IRENA Copyright Info: Material in this publication may be freely used, shared, copied, reproduced, printed and/or stored, provided that all such material is clearly attributed to IRENA and bears a notation that it is subject to copyright (© IRENA 2016). Material contained in this publication attributed to third parties may be subject to third-party copy-right and separate terms of use and restrictions, including restrictions in relation to any commercial use.</p><p>GCC desalination capacities by technology, as of 2014 as reported by IRENA (2016): 'Renewable Energy Market Analysis, The GCC region' IRENA AbuDubai</p><p>Note: Oman's 7 MWth enhanced oil recovery plant is not included because this table addresses only electricity. Source: IRENA Renewable Energy Statistics; (REN21, MOFA and IRENA, 2013)(RCREEE, 2015b)</p>";Renewable & Alternative Fuels;Capacity;Public Domain;en;;2016-04-12T07:02:25+00:00;;;2018-09-18T12:49:54+00:00;2018-09-18T12:49:54+00:00;IRENA;http://www.irena.org/Publications/ReportsPaper2014New.aspx?mnu=cat&PriMenuID=36&CatID=141&type=all;6;Renewable Energy Market Analysis: The GCC, Table:  GCC Desalination Capacities and Breakdown Per Technology;;;;;;;;;IRENA;;;;Annually;;2014;Regional;;;;;;;;;;;;;;;;;;;;;;;;18
renewable-energy-projects-in-the-gcc-2015;2018-09-18;;;Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates;EMEA;http://www.irena.org/Publications/Publications.aspx?mnu=cat&PriMenuID=36&CatID=141&type=all;Public;;;No;;Annualy;Renewable energy projects;<p>IRENA Copyright Info: Material in this publication may be freely used, shared, copied, reproduced, printed and/or stored, provided that all such material is clearly attributed to IRENA and bears a notation that it is subject to copyright (© IRENA 2016). Material contained in this publication attributed to third parties may be subject to third-party copy-right and separate terms of use and restrictions, including restrictions in relation to any commercial use.</p><p>List of renewable energy projects in GCC as reported by IRENA (2016): 'Renewable Energy Market Analysis, The GCC region' IRENA AbuDubai</p>;Renewable & Alternative Fuels;Wind, Solar;Public Domain;en;;2016-04-12T07:02:25+00:00;;;2018-09-18T12:56:23+00:00;2018-09-18T12:56:23+00:00;IRENA;http://www.irena.org/Publications/Publications.aspx?mnu=cat&PriMenuID=36&CatID=141&type=all;37;Renewable Energy Market Analysis: The GCC region, Table: Renewable Energy Projects in the GCC;;;;;;;;;IRENA;;;;Annually;;2015;Regional;;;;;;;;;;;;;;;;;;;;;;;;417
gcc-installed-renewable-energy-capacity-by-technology-2014;2018-09-18;;;Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates;EMEA;http://www.irena.org/DocumentDownloads/Publications/IRENA_Market_GCC_2016.pdf;Public;;;No;Megawatts;Annualy;Installed Renewable Energy Capacity by Technology;"<p>IRENA Copyright Info: Material in this publication may be freely used, shared, copied, reproduced, printed and/or stored, provided that all such material is clearly attributed to IRENA and bears a notation that it is subject to copyright (© IRENA 2016). Material contained in this publication attributed to third parties may be subject to third-party copy-right and separate terms of use and restrictions, including restrictions in relation to any commercial use.</p><p>Installed Renewable Energy Capacity in GCC Counties, as of 2014 as reported by IRENA (2016): 'Renewable Energy Market Analysis, The GCC region' IRENA AbuDubai</p><p>Note: Oman's 7 MWth enhanced oil recovery plant is not included because this table addresses only electricity. Source: IRENA Renewable Energy Statistics; (REN21, MOFA and IRENA, 2013); (RCREEE, 2015b)</p>";Renewable & Alternative Fuels;Capacity;Public Domain;en;;2016-04-12T07:02:25+00:00;;;2018-09-18T12:45:37+00:00;2018-09-18T12:45:38+00:00;IRENA;http://www.irena.org/Publications/ReportsPaper2014New.aspx?mnu=cat&PriMenuID=36&CatID=141&type=all;28;Renewable Energy Market Analysis, The GCC region, Table: Installed Renewable Energy Capacity in the GCC Countries, as of 2014;;;;;;;;;IRENA;;;;Annually;;2014;Regional;;;;;;;;;;;;;;;;;;;;;;;;11
electricity-consumption-tariffs-2014;2018-09-18;;;Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates;EMEA;http://resourceirena.irena.org/gateway/terms.html;Public;;;No;US cents/kWh;Annualy;Electricity Consumption Tariffs;<p>IRENA Copyright Info: Material in this publication may be freely used, shared, copied, reproduced, printed and/or stored, provided that all such material is clearly attributed to IRENA and bears a notation that it is subject to copyright (© IRENA 2016). Material contained in this publication attributed to third parties may be subject to third-party copy-right and separate terms of use and restrictions, including restrictions in relation to any commercial use.</p><p>Electricity Consumption Tariffs 2014 as reported by IRENA (2016): 'Renewable Energy Market Analysis, The GCC region' IRENA AbuDubai</p><p>Note: The tariff changes effective from January 2016 in Saudi Arabia and Abu Dhabi are included. Sources: (RSB, 2015), (DEWA, 2015), (RCREEE, 2015a)</p>;Electricity;Industrial, Commercial, Residential;Public Domain;en;;2016-04-12T07:02:25+00:00;;;2018-09-18T12:44:00+00:00;2018-09-18T12:44:01+00:00;IRENA;http://www.irena.org/publications;3;Renewable Energy Market Analysis, The GCC region IRENA AbuDubai;;;;;;;;;IRENA;;;;Annually;;2014;Regional;;;;;;;;;;;;;;;;;;;;;;;;62
electricity-consumption-tariffs-20140;2018-09-18;;;Bahrain, Kuwait, Oman, Qatar, Saudi Arabia, United Arab Emirates;EMEA;http://www.irena.org/DocumentDownloads/Publications/IRENA_Market_GCC_2016.pdf;Public;;;No;;Annualy;Installed Renewable Energy Capacity;"<div>IRENA Copyright Info: Material in this publication may be freely used, shared, copied, reproduced, printed and/or stored, provided that all such material is clearly attributed to IRENA and bears a notation that it is subject to copyright (© IRENA 2016). Material contained in this publication attributed to third parties may be subject to third-party copy-right and separate terms of use and restrictions, including restrictions in relation to any commercial use.</div><div>This publication should be cited as: IRENA (2016), 'Renewable Energy Market Analysis: The GCC Region'. IRENA, Abu Dhabi.</div><p>Installed Renewable Energy Capacity in GCC Counties, as of 2014 as reported by IRENA (2016): 'Renewable Energy Market Analysis, The GCC region' IRENA AbuDubai</p><p>Note: Oman's 7 MWth enhanced oil recovery plant is not included because this table addresses only electricity. Source: IRENA Renewable Energy Statistics; (REN21, MOFA and IRENA, 2013); (RCREEE, 2015b)</p>";Renewable & Alternative Fuels;Capacity;Public Domain;en;;2016-04-12T07:02:25+00:00;;;2018-09-19T05:49:17+00:00;2018-09-19T05:49:18+00:00;IRENA;http://www.irena.org/Publications/Publications.aspx?mnu=cat&PriMenuID=36&CatID=141&type=all;28;Renewable Energy Market Analysis, The GCC region, Table: Installed Renewable Energy Capacity in the GCC Countries, as of 2014;;;;;;;;;IRENA;;;;Annually;;2011 - 2014;Regional;;;;;;;;;;;;;;;;;;;;;;;;14
gcc-renewable-energy-capacity-in-2030;2018-09-18;;;Saudi Arabia, Bahrain, Kuwait, Oman, Qatar, United Arab Emirates;EMEA;http://www.irena.org/DocumentDownloads/Publications/IRENA_Market_GCC_2016.pdf;Public;;;;GW ;;Renewable Energy Capacity in 2030;<p>IRENA Copyright Info: Material in this publication may be freely used, shared, copied, reproduced, printed and/or stored, provided that all such material is clearly attributed to IRENA and bears a notation that it is subject to copyright (© IRENA 2016). Material contained in this publication attributed to third parties may be subject to third-party copy-right and separate terms of use and restrictions, including restrictions in relation to any commercial use.</p><p>Projected Renewable Energy Capacity in GCC Counties in 2030 as reported by IRENA (2016): 'Renewable Energy Market Analysis, The GCC region' IRENA AbuDubai</p>;Renewable & Alternative Fuels;Capacity;Public Domain;en;;2016-04-12T07:02:25+00:00;;;2018-09-19T05:15:13+00:00;2018-09-19T05:15:13+00:00;IRENA;http://www.irena.org/Publications/index.aspx?mnu=cat&PriMenuID=36&CatID=141;6;Renewable Energy Market Analysis, The GCC region, Table: Renewable energy capacity by country in 2030;;;;;;;;;IRENA;;;;Annually ;;2030;Regional;;;;;;;;;;;;;;;;;;;;;;;;101
world-renewable-investments-by-stage-2004-2014;2017-04-30;;Knoema;World;WORLD;http://resourceirena.irena.org/gateway/terms.html;Public;;;;;;Renewable Investments by Stage;<p>REN21 World Renewable Investment 2000-2014 from IRENA</p>;Renewable & Alternative Fuels;Capacity, Investments;Public Domain;en;;2016-04-12T07:02:25+00:00;False;False;2018-09-27T12:07:48+00:00;2018-11-19T11:52:18+00:00;IRENA;http://resourceirena.irena.org/gteway/dashboard/?topic=4&subTopic=15;121;IRENA;;;;;;;;2016-06-21;IRENA;;;;Annually;;2004-2014;World;;;;;;;;;;;;;;;;;;;;;;;;9
actual-capacity-to-generate-electricity-mw-by-end-of-the-year-2014;2017-07-02;;;Saudi Arabia;EMEA;http://www.mowe.gov.sa/;Public;;;Yes;MW;;Actual Capacity to Generate Electricity;<table><tbody><tr><td><ul><li>Table 3-1</li></ul></td><td></td><td></td></tr><tr><td></td><td></td><td></td></tr><tr><td></td><td></td><td></td></tr></tbody></table>;Electricity;Capacity;Public Domain;en;;2016-04-14T13:36:43+00:00;;;2017-07-03T02:13:42+00:00;2017-08-20T18:06:37+00:00;Ministry of Environment, Water and Agriculture;http://www.mowe.gov.sa/English/newprojectall.aspx;6;Title: القدرة الفعلية لتوليد الكهرباء;;;;;;;;;;;;;Yearly;;2014;Country;;;;;;;;;;;;;;;;;;;;;;;;15
desalination-plants-in-the-private-sector-by-end-of-year-2014;2017-07-02;;;Saudi Arabia;EMEA;http://www.mowe.gov.sa;Public;;;Yes;;;Desalination Plants in the Private Sector;<table><tbody><tr><td><ul><li>Table 4-2 </li></ul></td><td></td><td></td></tr><tr><td></td><td></td><td></td></tr></tbody></table>;Electricity;Capacity;Public Domain;en;;2016-04-14T13:45:26+00:00;;;2017-07-03T04:21:17+00:00;2017-08-20T18:06:37+00:00;Ministry of Environment, Water and Agriculture;http://www.mowe.gov.sa/English/newprojectall.aspx;6;Title: Table 4-2 Desalination plants in the private sector by end of year 2014;;;;;;;;;Ministry of Water and Electricity;;;;Yearly;;2014;Country ;;;;;;;;;;;;;;;;;;;;;;;;18
evolution-of-the-number-of-cities-villages-and-hamlets-that-have-reached-electri;2017-07-02;;;Saudi Arabia;EMEA;http://www.mowe.gov.sa;Public;;;Yes;;;Number of Cities in Saudi Arabia with Electricity;<table><tbody><tr><td><ul><li>Table 3-14</li></ul></td><td></td><td></td></tr><tr><td></td><td></td><td></td></tr></tbody></table>;Electricity;;Public Domain;en;;2016-04-14T13:55:13+00:00;;;2017-07-03T04:21:44+00:00;2017-08-20T18:06:37+00:00;Ministry of Environment, Water and Agriculture;http://www.mowe.gov.sa/English/newprojectall.aspx;11;Title: Table 3-14: Evolution of the number of cities, villages and hamlets that have reached electricity;;;;;;;;;Ministry of Water and Electricity;;;;Yearly;;2004-2014;Country ;;;;;;;;;;;;;;;;;;;;;;;;16
imported-energy-according-to-sources-gwh-2014;2017-07-02;;;Saudi Arabia;EMEA;http://www.mowe.gov.sa/;Public;;;Yes;GWh;;Imported Energy by Source and Region;"<hr id=""horizontalrule""><table>  <colgroup></colgroup><tbody><tr>   <td><ul><li>Table   3-3</li></ul></td>  </tr>  <tr>   <td></td></tr></tbody></table></hr>";Electricity;Imports;Public Domain;en;;2016-04-14T14:07:27+00:00;;;2017-07-03T02:12:42+00:00;2017-08-20T18:06:37+00:00;Ministry of Environment, Water and Agriculture;http://www.mowe.gov.sa/English/newprojectall.aspx;5;Title: الطاقة المستوردة بحسب المصادر;;;;;;;;;;;;;Yearly;;2014;Country;;;;;;;;;;;;;;;;;;;;;;;;8
europe-rail-road;2018-10-24;;;World;WORLD;http://www.eurogeographics.org/content/terms-and-conditions;Public;http://www.eurogeographics.org/content/copyright;;;;;Europe - Rail Road;"<p><em>“This product includes Intellectual Property from European National  Mapping and Cadastral Authorities and is licensed on behalf of these by  EuroGeographics. Original product is freely available at <a href=""http://www.eurogeographics.org"">www.eurogeographics.org</a>. Terms of the licence available at <a href=""http://www.eurogeographics.org/form/topographic-data-eurogeographics"">http://www.eurogeographics.org/form/topographic-data-eurogeographics</a>”.  </em>Short form – <em>“© EuroGeographics. Original product is freely available at <a href=""http://www.eurogeographics.org"">www.eurogeographics.org</a>. Terms of the licence available at <a href=""http://www.eurogeographics.org/form/topographic-data-eurogeographics"">http://www.eurogeographics.org/form/topographic-data-eurogeographics</a>”.</em></p>";Transportation;Rail;http://www.eurogeographics.org/content/eurogeographics-euroglobalmap-opendata;en;;2016-04-15T09:05:10+00:00;;;2017-03-22T13:38:48+00:00;2018-11-21T07:30:34+00:00;EuroGeographics;http://www.eurogeographics.org/form/topographic-data-eurogeographics;88003;;;;;;;;;;;;;;ANNUALLY;;2012 - 2015;;;;;;;;;;;;;;;;;;;;;;;;;29
the-amount-of-water-distributed-from-all-sources-on-areas-2014;2017-07-02;;;Saudi Arabia;EMEA;;Public;;;Yes;;;The amount of Distributed Water from all Sources on areas;<table><tbody><tr><td></td><td><ul><li>Table 2-17 </li></ul></td><td></td></tr><tr><td></td><td></td><td></td></tr></tbody></table>;Water;;Open Database License (ODbL);en;;2016-04-17T10:40:34+00:00;;;2017-07-03T06:10:13+00:00;2017-08-20T18:06:38+00:00;Ministry of Environment, Water and Agriculture;http://www.mowe.gov.sa/Arabic/Forms-documnts.aspx;13;;;;;;;;;;;;;;Yearly;;2014;;;;;;;;;;;;;;;;;;;;;;;;;7
the-development-of-the-electric-power-produced-and-imported-gwh-2004-2014;2017-07-02;;;Saudi Arabia;EMEA;;Public;;;Yes;Gwh;;Produced/Imported Electrical Energy;<table><tbody><tr><td><ul><li>Table 3-8</li></ul></td><td></td><td></td></tr><tr><td></td><td></td><td></td></tr></tbody></table>;Electricity;Production, Imports;Open Database License (ODbL);en;;2016-04-17T11:33:46+00:00;;;2017-07-03T04:27:22+00:00;2017-08-20T18:06:38+00:00;Ministry of Environment, Water and Agriculture;http://www.mowe.gov.sa/Arabic/Forms-documnts.aspx;11;;;;;;;;;;;;;;Yearly;;2004-2014;;;;;;;;;;;;;;;;;;;;;;;;;10
the-development-of-maximum-load-on-networks-mw-2004-2014;2017-07-02;;;Saudi Arabia;EMEA;http://www.mowe.gov.sa/;Public;;;Yes;MW;;Peak Load On Networks;<table><tbody><tr><td><ul><li>Table 3-11</li><li>2014*: * Synchronized loads</li></ul></td><td><br/><br/></td><td></td></tr><tr><td></td><td></td><td></td></tr></tbody></table>;Electricity;Peak Load;Public Domain;en;;2016-04-17T11:56:26+00:00;;;2017-07-03T04:24:45+00:00;2017-08-20T18:06:38+00:00;Ministry of Environment, Water and Agriculture;http://www.mowe.gov.sa/English/newprojectall.aspx;11;Title: Table 3-11: The development of maximum load on networks MW;;;;;;;;;Ministry of Water and Electricity;;;;Yearly;;2004-2014;Country ;;;;;;;;;;;;;;;;;;;;;;;;12
the-development-of-the-actual-capacity-to-generate-electricity-mw-2004-2014;2017-07-02;;;Saudi Arabia;EMEA;http://www.mowe.gov.sa/ENIndex.aspx;Public;;;Yes;MW;;Electricity Generation Capacity by Source;<table><tbody><tr><td><ul><li>Table 3-2</li><li>SEC: Saudi Electricity Company</li></ul></td><td></td><td></td></tr><tr><td></td><td></td><td></td></tr></tbody></table>;Electricity;Capacity;Public Domain;en;;2016-04-17T12:17:12+00:00;;;2017-07-03T04:34:41+00:00;2017-08-20T18:06:38+00:00;Ministry of Environment, Water and Agriculture;http://www.mowe.gov.sa/English/newprojectall.aspx;11;Title: Table 3-2: The evolution of the actual capacity to generate electricity MW;;;;;;;;;;;;;Yearly;;2004-2014;Country ;;;;;;;;;;;;;;;;;;;;;;;;15
the-development-of-the-components-of-the-electricity-distribution-system-in-the-;2017-07-02;;;Saudi Arabia;EMEA;http://www.mowe.gov.sa/;Public;;;Yes;;;Components of Electricity Distribution System;<table><tbody><tr><td><ul><li>Table 3-6</li><li>MVA: Mega Volt Amp</li></ul></td><td></td><td></td></tr><tr><td></td><td></td><td></td></tr></tbody></table>;Electricity;;Public Domain;en;;2016-04-17T12:35:47+00:00;;;2017-07-03T02:19:30+00:00;2017-08-20T18:06:38+00:00;Ministry of Environment, Water and Agriculture;http://www.mowe.gov.sa/English/newprojectall.aspx;11;Title: تطور مكونات منظومة توزيع الكهرباء بالمملكة;;;;;;;;;;;;;Yearly;;2004-2014;Country;;;;;;;;;;;;;;;;;;;;;;;;13
the-private-sector-plants-with-double-production-by-end-of-year-2014;2017-07-02;;;Saudi Arabia;EMEA;http://www.mowe.gov.sa/ENIndex.aspx;Public;;;Yes;;;Private Power and Water Plants 2014;<ul> <li>RO: Reverse Osmosis </li></ul>;Water;Capacity;Public Domain;en;;2016-04-17T12:54:22+00:00;;;2017-07-03T05:23:17+00:00;2017-08-20T18:06:38+00:00;Ministry of Environment, Water and Agriculture;http://www.mowe.gov.sa/English/newprojectall.aspx;6;Title: Annual Report 2014: the private sector plants with double production by end of year 2014;;;;;;;;;;;;;Yearly;;2014;Country;;;;;;;;;;;;;;;;;;;;;;;;23
total-number-of-subscribers-by-end-of-the-year-2014;2017-07-02;;;Saudi Arabia;EMEA;http://www.mowe.gov.sa/;Public;;;Yes;;;Electricity Subscribers;<table><tbody><tr><td><ul><li>Table 3-12</li></ul></td><td></td><td></td></tr><tr><td></td><td></td><td></td></tr></tbody></table>;Electricity;;Public Domain;en;;2016-04-17T12:59:53+00:00;;;2017-07-03T02:45:36+00:00;2017-08-20T18:06:38+00:00;Ministry of Environment, Water and Agriculture;http://www.mowe.gov.sa/Arabic/Forms-documnts.aspx;6;Title: إجمالي أعداد المشتركين;;;;;;;;;;;;;Yearly;;2014;Country;;;;;;;;;;;;;;;;;;;;;;;;17
world-nuclear-reactors-and-uranium-requirements-2014-2016;2017-11-02;;Knoema;World;WORLD;http://www.world-nuclear.org/furniture/masterpage-items/permission-for-use-of-content.aspx;Public;;;;;;Nuclear Reactors and Uranium Requirements;"<p>World Nuclear Association<br/>World Nuclear Power Reactors &amp; Uranium Requirements</p>";Nuclear;Reserves, Nuclear, Uranium;;en;;2016-04-17T13:41:22+00:00;;;2018-09-27T12:06:17+00:00;2018-10-27T12:03:17+00:00;World Nuclear Association;http://www.world-nuclear.org/information-library/facts-and-figures/world-nuclear-power-reactors-and-uranium-requireme.aspx;21339;World Nuclear Association;;;;;;;;;World Nuclear Association;;;;Monthly -Annually ;;2007-2017;Global;;;;;;;;;;;;;;;;;;;;;;;;22
